Index	Label
0	nya
1	douga
2	211
3	koto
4	hippu
5	「
6	iTunes
7	asukotto
8	komikku
9	hajimaru
10	yoba
11	tousho
12	atsu
13	1838
14	YouTube
15	reru
16	kongou
17	haron
18	erizabetoongakudaigaku
19	shou
20	gatsu
21	motomoto
22	2011
23	ou
24	2013
25	media
26	asukottogo-rudove-su
27	i
28	supairaru
29	db
30	ga
31	kin
32	mairu
33	nozoki
34	imyou
35	kyousou
36	dansu
37	ponchakku
38	tsu
39	ongaku
40	netto
41	shizuoka
42	to
43	kan
44	hamamatsu
45	yunitto
46	nen
47	he
48	kei
49	fudan
50	！
51	goro
52	bando
53	happyou
54	ya
55	）
56	re
57	janruresu
58	risuteddore-su
59	bo-karu
60	omowa
61	＝
62	yanpuri
63	sei
64	jidai
65	kunshu
66	kakusage
67	midiamubara-do
68	Vase
69	3
70	kousei
71	kashi
72	igirisu
73	sono
74	nendai
75	yu-moa
76	kashi
77	1986
78	G
79	gakkyoku
80	keiba
81	suta-to
82	hitotsu
83	Category
84	aru
85	denpa
86	nado
87	shi
88	touji
89	se
90	sentai
91	ta
92	natsu
93	..
94	de
95	ni
96	Queen
97	yatsu
98	roshutsu
99	keitai
100	koe
101	s
102	nai
103	-
104	gure-do
105	nikoniko
106	sai
107	。
108	yaku
109	（
110	kui-nzuva-zu
111	kui-nzuve-su
112	joou
113	2808
114	vikutoria
115	kakuzuke
116	janru
117	ikou
118	1987
119	sonzai
120	katsudou
121	sen
122	na-do
123	sousetsu
124	raibu
125	katsu
126	sei
127	ya-do
128	:
129	ba
130	nippon
131	suru
132	myu-jikku
133	iru
134	touri
135	roiyaru
136	toraware
137	kaisai
138	genzai
139	zoutei
140	kono
141	WAY
142	zu
143	ko
144	10
145	hoppu
146	te
147	gentei
148	okonawa
149	na
150	no
151	enka
152	kingusuve-su
153	erizabesu
154	toshite
155	furui
156	、
157	arubamu
158	mo
159	datsu
160	choukyori
161	」
162	TWO
163	wo
164	ha
165	pafo-mansu
166	1970
167	tokuchou
168	kinnen
169	kotonaru
170	namae
171	kara
172	uma
173	go-rudove-su
174	1
175	5
176	nomi
177	kaki
178	toukyou
179	juu
180	ki
181	yoku
182	tame
183	me-toru
184	houkou
185	mataha
186	niyoru
187	sa
188	kiten
189	you
190	anime
191	indi-zubando
192	hi-ro-
193	kessei
194	'
195	ne
196	st
197	toshi
198	shikashi
199	narawashi
